Date,Open,High,Low,Close,Adj Close,Volume
2019-09-02,9.125000,9.235000,9.020000,9.152500,8.910463,27328800
2019-09-03,9.070000,9.345000,8.945000,8.970000,8.732790,29592000
2019-09-04,9.165000,9.300000,9.087500,9.300000,9.054062,31424800
2019-09-05,9.375000,9.447500,9.162500,9.175000,8.932369,28631600
2019-09-06,9.245000,9.265000,8.962500,9.000000,8.761996,31526400
2019-09-09,9.022500,9.040000,8.377500,8.550000,8.323895,57427200
2019-09-10,8.250000,8.327500,7.907500,8.125000,7.910135,96050400
2019-09-11,8.425000,8.662500,8.287500,8.650000,8.421250,65658000
2019-09-12,8.750000,8.847500,8.470000,8.750000,8.518606,50517200
2019-09-13,8.805000,8.817500,8.512500,8.525000,8.299556,31115200
2019-09-16,8.450000,8.717500,8.192500,8.717500,8.486966,42700800
2019-09-17,8.535000,8.795000,8.457500,8.712500,8.482098,41455600
2019-09-18,8.625000,8.800000,8.612500,8.765000,8.533211,25575200
2019-09-19,8.850000,9.087500,8.850000,8.952500,8.715753,46304000
2019-09-20,8.985000,9.140000,8.862500,9.140000,8.898293,42718400
2019-09-23,9.145000,9.145000,8.935000,8.997500,8.759562,24673600
2019-09-24,9.025000,9.250000,8.992500,9.192500,8.949404,37714800
2019-09-25,9.137500,9.217500,8.937500,9.180000,8.937237,22660800
2019-09-26,9.202500,9.317500,9.127500,9.142500,8.900727,27740400
2019-09-27,9.140000,9.210000,9.037500,9.200000,8.956707,16346400
2019-09-30,9.187500,9.305000,9.135000,9.260000,9.015121,20688400
2019-10-01,9.287500,9.362500,9.177500,9.362500,9.114909,25854800
2019-10-02,9.287500,9.322500,9.067500,9.125000,8.883691,35486800
2019-10-03,9.140000,9.325000,9.012500,9.325000,9.078401,23190000
2019-10-04,9.350000,9.730000,9.325000,9.695000,9.438616,59760000
2019-10-07,9.650000,9.937500,9.540000,9.600000,9.346128,39637200
2019-10-08,9.660000,9.742500,9.465000,9.500000,9.266537,42653200
2019-10-09,9.575000,9.920000,9.570000,9.912500,9.668900,35893600
2019-10-10,9.925000,9.995000,9.700000,9.735000,9.495761,30410400
2019-10-11,9.870000,10.187500,9.840000,10.125000,9.876178,43940800
2019-10-14,10.000000,10.542500,9.975000,10.542500,10.283416,44124800
2019-10-15,10.550000,10.700000,10.307500,10.450000,10.193189,38353200
2019-10-16,10.402500,10.720000,10.242500,10.690000,10.427292,41211200
2019-10-17,10.675000,11.087500,10.650000,10.792500,10.527271,53416000
2019-10-18,10.860000,10.987500,10.587500,10.750000,10.485817,28584400
2019-10-21,10.837500,10.887500,10.605000,10.775000,10.510203,24721600
2019-10-22,10.797500,10.995000,10.792500,10.930000,10.661393,23985600
2019-10-23,10.897500,10.997500,10.730000,10.872500,10.605308,32365600
2019-10-24,10.872500,10.987500,10.790000,10.812500,10.546781,23944400
2019-10-25,10.845000,10.875000,10.500000,10.500000,10.241961,32608400
2019-10-28,10.550000,10.795000,10.512500,10.667500,10.405344,42348000
2019-10-29,10.795000,10.847500,10.157500,10.287500,10.034683,49930800
2019-10-30,10.715000,11.110000,10.562500,11.005000,10.734550,128373200
2019-10-31,10.837500,11.160000,10.642500,11.160000,10.885741,95930400
2019-11-01,11.237500,11.825000,11.227500,11.797500,11.507574,92438400
